"ImageURN", textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.042,0.0675,0.627,0.0615", Page 261
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.026,0.1358,0.575,0.0668", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.029,0.2041,0.583,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.028,0.2536,0.544,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.032,0.2993,0.626,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.1,0.3541,0.604,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.104,0.4231,0.508,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.049,0.4996,0.731,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.045,0.4921,0.183,0.132", large letter C
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.048,0.5386,0.673,0.072", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.024,0.6069,0.648,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.102,0.6639,0.55,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.113,0.7239,0.564,0.0653", neumes from next line included
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.636,0.6654,0.113,0.123", neumes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.045,0.7734,0.736,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_261@0.577,0.7314,0.219,0.1088", neumes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.352,0.057,0.564,0.0705", Page 262
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.352,0.12,0.581,0.0705", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.34,0.183,0.604,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.34,0.183,0.604,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.34,0.183,0.604,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.256,0.3631,0.682,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.252,0.3083,0.19,0.1935", large letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.432,0.4254,0.416,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.336,0.4921,0.529,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.336,0.5431,0.549,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_262@0.336,0.6092,0.249,0.0593",
