ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.124,0.0518,0.627,0.084", page 241
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.08,0.1275,0.623,0.075", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.138,0.1943,0.516,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.131,0.2558,0.35,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.085,0.3128,0.562,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.139,0.3751,0.525,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.136,0.4314,0.536,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.075,0.4974,0.584,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.144,0.5596,0.546,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.143,0.6227,0.529,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.32,0.6924,0.448,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.086,0.7404,0.652,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.087,0.6909,0.244,0.2056", giant letter E
"urn:cite:ecod:einsiedeln121img.sbe_0121_241@0.302,0.7989,0.432,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.402,0.072,0.513,0.0615", page 242
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.4,0.1335,0.555,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.348,0.1965,0.547,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.34,0.2626,0.385,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.317,0.3113,0.621,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.373,0.3683,0.564,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.393,0.4314,0.518,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.394,0.4869,0.524,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.396,0.5506,0.373,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.351,0.7434,0.553,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_242@0.382,0.8147,0.445,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_243@0.077,0.0608,0.512,0.0773", page 243
"urn:cite:ecod:einsiedeln121img.sbe_0121_243@0.085,0.0578,0.191,0.1575", giant letter C
"urn:cite:ecod:einsiedeln121img.sbe_0121_243@0.278,0.1358,0.356,0.0623",
