"ImageURN", TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.059,0.0473,0.509,0.0788", Page 291
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.044,0.045,0.197,0.1403", large letter O
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.05,0.1305,0.603,0.0555", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.048,0.1793,0.632,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.093,0.2341,0.539,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.108,0.2933,0.568,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.108,0.3593,0.557,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.112,0.4119,0.394,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.048,0.4696,0.704,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.054,0.5364,0.586,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.114,0.6017,0.32,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.053,0.6654,0.597,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.106,0.7202,0.599,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.101,0.7802,0.711,0.0953",
"urn:cite:ecod:einsiedeln121img.sbe_0121_291@0.639,0.7487,0.155,0.141", neumes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.24,0.0563,0.689,0.078", Page 292
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.258,0.1305,0.662,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.258,0.186,0.672,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.239,0.0585,0.312,0.2176", large letter U
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.311,0.2483,0.624,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.376,0.3016,0.549,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.381,0.3526,0.571,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.361,0.4111,0.239,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.305,0.4771,0.665,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.376,0.5431,0.583,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.372,0.6032,0.594,0.0855",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.306,0.6737,0.599,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.294,0.7262,0.66,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_292@0.372,0.7869,0.545,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.101,0.0518,0.54,0.0705", Page 293
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.061,0.132,0.6,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.057,0.1845,0.595,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.034,0.1148,0.249,0.3751", large letter P
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.235,0.2401,0.415,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.071,0.2948,0.649,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.159,0.3503,0.56,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.083,0.4171,0.453,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.065,0.4741,0.623,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.049,0.5499,0.595,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.048,0.6077,0.567,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.133,0.6737,0.475,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.086,0.7119,0.529,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_293@0.085,0.7959,0.449,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.316,0.0548,0.56,0.0705", Page 294
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.293,0.1118,0.662,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.301,0.183,0.514,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.292,0.12,0.138,0.135", large letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.312,0.2476,0.574,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.366,0.2993,0.557,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.408,0.3623,0.48,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.293,0.4149,0.652,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.274,0.3458,0.138,0.3698", large letter J
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.408,0.4771,0.537,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.379,0.5439,0.533,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.376,0.5994,0.548,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.378,0.6594,0.512,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.376,0.7164,0.584,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_294@0.37,0.7802,0.554,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.05,0.066,0.611,0.0668", Page 295
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.067,0.138,0.573,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.075,0.1875,0.578,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.054,0.2401,0.602,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.059,0.192,0.202,0.168", large letter C
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.261,0.2971,0.378,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.099,0.3533,0.547,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.117,0.4186,0.514,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.103,0.4711,0.649,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.096,0.5409,0.45,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.079,0.6062,0.609,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.059,0.6692,0.566,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.067,0.7232,0.602,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_295@0.096,0.7832,0.565,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.39,0.063,0.546,0.0728", Page 296
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.384,0.1305,0.549,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.382,0.1853,0.546,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.385,0.2468,0.534,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.385,0.3016,0.28,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.32,0.3653,0.646,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.298,0.4291,0.558,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.292,0.3601,0.149,0.156", large letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.314,0.5071,0.622,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.298,0.5604,0.641,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.372,0.6062,0.543,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.364,0.6722,0.588,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.423,0.7397,0.491,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.276,0.7959,0.667,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_296@0.24,0.6722,0.296,0.2521", large letter L
"urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.056,0.0533,0.569,0.0713", Page 297
"urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.098,0.1185,0.558,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.088,0.1748,0.544,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.088,0.2326,0.404,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.05,0.2761,0.614,0.078", includes text from previous line
""urn:cite:ecod:einsiedeln121img.sbe_0121_297@0.086,0.3473,0.567,0.0698,
